Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Deposit,2023-12-28 16:00:08.99,,,,,,,,,,800.00,"EUR",,,"Bank Transfer",32137509-1986-4136-81aa-fe2cd02e0a12,,,,,,
Market buy,2023-12-28 17:50:29.807,US30303M1027,META,"Meta Platforms",1.1328406000,360.02,USD,1.10746,,"EUR",368.82,"EUR",,,,EOF7951633248,,,,,0.55,"EUR"
Market buy,2023-12-28 17:51:50.62,US30303M1027,META,"Meta Platforms",1.3234097000,360.32,USD,1.10759,,"EUR",431.18,"EUR",,,,EOF7951633329,,,,,0.65,"EUR"
Deposit,2024-01-02 00:01:23.458,,,,,,,,,,200.00,"EUR",,,"Bank Transfer",35398b9f-c474-489f-b87d-b50c395af8c2,,,,,,
Withdrawal,2024-01-02 00:13:00.46,,,,,,,,,,-200.00,"EUR",,,"Sent to card **** 8003",53465c65-60e7-48be-944b-2f4f1c232ed2,,,,,,
Deposit,2024-01-03 08:30:54.269,,,,,,,,,,215.21,"USD",,,"Bank Transfer",3d91a8a8-6254-4b1c-a3ff-5bfb08be87b9,,,,,,
Market buy,2024-01-03 19:33:58.051,US30051E1047,EVVTY,"Evolution",1.8367320000,117.17,USD,1.00000,,"USD",215.21,"USD",,,,EOF8251485482,,,,,,
Market sell,2024-01-16 15:18:27.881,US30303M1027,META,"Meta Platforms",0.2696141000,370.90,USD,1.00000,4.68,"USD",100.00,"USD",,,,EOF8901415860,,,,,,
Currency conversion,2024-01-16 15:22:04.089,,,,,,,,,,-0.14,"EUR",,,"100 USD -> 91.90 EUR",9J3FYGDH043VCECM,100.00,"USD",91.90,"EUR",-0.14,"EUR"
Withdrawal,2024-01-16 16:23:20.246,,,,,,,,,,-91.76,"EUR",,,"Sent to card **** 8003",eb0e1a71-48b1-49d7-bb7c-9377a1d04d97,,,,,,
Deposit,2024-01-29 10:45:16.737,,,,,,,,,,1000.00,"EUR",,,"Bank Transfer",a31c627f-50b5-41d7-b54f-b3769109a026,,,,,,
Interest on cash,2024-01-29 22:13:53.839,,,,,,,,,,0.04,"EUR",,,"Interest on cash",583bdc56-ae76-4d01-b6a3-0a2e0a799ecf,,,,,,
Interest on cash,2024-01-30 22:16:21.348,,,,,,,,,,0.11,"EUR",,,"Interest on cash",4e974155-58be-4682-ab7c-f68927ea1917,,,,,,
Market sell,2024-01-31 15:16:54.134,US30303M1027,META,"Meta Platforms",2.8299637000,393.49,USD,1.00000,113.06,"USD",1113.56,"USD",,,,EOF9650828347,,,,,,
Market buy,2024-01-31 16:02:09.666,US88160R1014,TSLA,"Tesla",0.5937051000,190.33,USD,1.00000,,"USD",113.00,"USD",,,,EOF9650841272,,,,,,
Market sell,2024-01-31 16:35:00.356,US30051E1047,EVVTY,"Evolution",1.8367320000,117.90,USD,1.00000,1.34,"USD",216.55,"USD",,,,EOF9650848470,,,,,,
Currency conversion,2024-01-31 16:55:58.855,,,,,,,,,,-1.68,"EUR",,,"1217.11 USD -> 1121.01 EUR",JJU3MOMBVK88797K,1217.11,"USD",1121.01,"EUR",-1.68,"EUR"
Interest on cash,2024-01-31 22:15:21.396,,,,,,,,,,0.24,"EUR",,,"Interest on cash",b3f2712b-9f4c-4709-9d46-d9a3391ca903,,,,,,
Dividend (Dividend),2024-02-01 10:32:42,US00206R1023,T,"AT&T",33.5251040000,0.24,USD,Not available,,,7.32,"EUR",1.40,USD,,,,,,,,
Interest on cash,2024-02-01 22:15:58.88,,,,,,,,,,0.24,"EUR",,,"Interest on cash",33fd8542-7d8f-4a40-9efd-41f9f11c0946,,,,,,
Interest on cash,2024-02-02 22:14:12.593,,,,,,,,,,0.24,"EUR",,,"Interest on cash",5f166671-5b64-4697-a8a2-71fd011faee2,,,,,,
Lending interest,2024-02-03 02:26:08.962,,,,,,,,,,0.01,"EUR",,,"Share lending interest",02eefa88-aa47-4eff-8f68-7adebcdf0302,,,,,,
Interest on cash,2024-02-03 22:17:10.953,,,,,,,,,,0.24,"EUR",,,"Interest on cash",d22fb7a9-94b1-4a68-a42e-972fec2d7541,,,,,,
Interest on cash,2024-02-04 22:14:26.183,,,,,,,,,,0.23,"EUR",,,"Interest on cash",4de00bac-79b5-45a4-b5c5-ea0b06a54c1a,,,,,,
Lending interest,2024-02-05 02:28:36.022,,,,,,,,,,0.02,"EUR",,,"Share lending interest",b49bd3e2-9508-41c9-bfc0-976df7914913,,,,,,
Withdrawal,2024-02-05 08:06:40.266,,,,,,,,,,-100.00,"EUR",,,"Sent to card **** 8003",21d1b957-b5d6-420e-8d62-2502cda0a381,,,,,,
Interest on cash,2024-02-05 22:14:02.591,,,,,,,,,,0.23,"EUR",,,"Interest on cash",6327b25e-0461-44c6-8b37-08cb38d8146c,,,,,,
Lending interest,2024-02-06 02:21:30.625,,,,,,,,,,0.01,"EUR",,,"Share lending interest",fe01811b-477a-4f92-9328-4f1cecf8b438,,,,,,
Interest on cash,2024-02-06 22:12:59.634,,,,,,,,,,0.23,"EUR",,,"Interest on cash",43d5d339-47ec-46a8-9b36-5c53a5c58908,,,,,,
Lending interest,2024-02-07 02:24:03.525,,,,,,,,,,0.01,"EUR",,,"Share lending interest",d7df268b-0db9-421c-9bb7-bb324eac60cd,,,,,,
Market sell,2024-02-07 09:00:05.442,US88160R1014,TSLA,"Tesla",0.6287672000,186.34,USD,1.00000,-4.90,"USD",117.16,"USD",,,,EOF9952780994,,,,,,
Market buy,2024-02-07 17:33:19.185,US00206R1023,T,"AT&T",6.7333270000,17.40,USD,1.00000,,"USD",117.16,"USD",,,,EOF10001658744,,,,,,
Interest on cash,2024-02-07 22:13:41.384,,,,,,,,,,0.23,"EUR",,,"Interest on cash",72b9b70d-d2fe-402b-aee1-103d4f2a5298,,,,,,
Lending interest,2024-02-08 02:22:44.86,,,,,,,,,,0.01,"EUR",,,"Share lending interest",733a678a-4693-43d2-b207-5f557459d3a5,,,,,,
Market buy,2024-02-08 11:50:17.101,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",1.0279182000,486.42,EUR,1.00000,,"EUR",500.00,"EUR",,,,EOF10002766884,,,,,,
Market buy,2024-02-08 11:51:08.654,IE00BK5BQT80,VWCE,"Vanguard FTSE All-World (Acc)",4.4436535000,112.52,EUR,1.00000,,"EUR",500.00,"EUR",,,,EOF10002766936,,,,,,
Interest on cash,2024-02-08 22:13:09.972,,,,,,,,,,0.12,"EUR",,,"Interest on cash",9c3651e2-410a-4b2b-be37-f7515b81ff62,,,,,,
Lending interest,2024-02-09 02:25:42.786,,,,,,,,,,0.01,"EUR",,,"Share lending interest",635a355b-a187-4d89-9eb4-4425ed629c6f,,,,,,
Interest on cash,2024-02-09 22:12:52.124,,,,,,,,,,0.11,"EUR",,,"Interest on cash",24516058-319d-4585-abe1-12e92b377278,,,,,,
Withdrawal,2024-02-10 09:05:00.237,,,,,,,,,,-300.00,"EUR",,,"Sent to card **** 8003",d01d892e-0c1c-49bb-91fa-8486e4d3339e,,,,,,
Lending interest,2024-02-10 14:13:26.983,,,,,,,,,,0.01,"EUR",,,"Share lending interest",a36915ab-1ca1-46f7-82d5-7c2233115e43,,,,,,
Interest on cash,2024-02-10 22:15:16.242,,,,,,,,,,0.08,"EUR",,,"Interest on cash",ab3ba45b-f552-4045-998d-cce82b0f9e19,,,,,,
Interest on cash,2024-02-11 22:01:58.847,,,,,,,,,,0.09,"EUR",,,"Interest on cash",8aaeed5f-eb9a-4164-bc58-7ab39e088771,,,,,,
Lending interest,2024-02-12 02:34:15.203,,,,,,,,,,0.02,"EUR",,,"Share lending interest",345508f1-e1e1-4cc0-80cb-456486970839,,,,,,
Interest on cash,2024-02-12 22:02:18.621,,,,,,,,,,0.08,"EUR",,,"Interest on cash",bfe7d39f-a9db-4642-a7ab-5d096cf4792a,,,,,,
Market sell,2024-02-13 15:35:38.127,US0378331005,AAPL,"Apple",1.1725398000,185.50,USD,1.00000,6.35,"USD",217.51,"USD",,,,EOF10250923492,,,,,,
Interest on cash,2024-02-13 22:02:13.108,,,,,,,,,,0.08,"EUR",,,"Interest on cash",2ec783b1-1cdb-4e9f-a086-a45baf3b976f,,,,,,
Interest on cash,2024-02-13 22:02:13.145,,,,,,,,,,0.02,"USD",,,"Interest on cash",0424e942-415d-416e-984f-206702df29c1,,,,,,
Interest on cash,2024-02-14 22:02:02.259,,,,,,,,,,0.08,"EUR",,,"Interest on cash",9320eae8-ef02-411b-902a-437225278e9b,,,,,,
Interest on cash,2024-02-14 22:02:02.436,,,,,,,,,,0.03,"USD",,,"Interest on cash",ef5a8330-1560-4ee9-8f0f-07a205610f27,,,,,,
Dividend (Dividend),2024-02-15 12:33:50,US0378331005,AAPL,"Apple",1.1725398000,0.20,USD,Not available,,,0.22,"EUR",0.04,USD,,,,,,,,
Interest on cash,2024-02-15 22:01:59.572,,,,,,,,,,0.09,"EUR",,,"Interest on cash",6ea6aff5-d1e6-4a2c-8fa9-8f78dcdc32f2,,,,,,
Interest on cash,2024-02-15 22:01:59.606,,,,,,,,,,0.03,"USD",,,"Interest on cash",4c766d28-9fc1-4f46-9570-4da7127743f7,,,,,,
Lending interest,2024-02-16 02:34:20.615,,,,,,,,,,0.01,"EUR",,,"Share lending interest",e145019e-5007-4c6a-914f-a96bfd92e1c2,,,,,,
Interest on cash,2024-02-16 22:01:53.257,,,,,,,,,,0.08,"EUR",,,"Interest on cash",12ab9093-5a39-4e52-86f2-9c7a2964d3f3,,,,,,
Interest on cash,2024-02-16 22:01:53.29,,,,,,,,,,0.03,"USD",,,"Interest on cash",542a0d3d-5c76-4f1c-a493-8d4db7e7f735,,,,,,
Interest on cash,2024-02-17 22:01:47.944,,,,,,,,,,0.08,"EUR",,,"Interest on cash",e4e91d11-48ec-46f7-84ce-914762e62bf6,,,,,,
Interest on cash,2024-02-17 22:01:47.993,,,,,,,,,,0.03,"USD",,,"Interest on cash",15a0ac49-6942-4e4d-83f6-8a681e04d421,,,,,,
Interest on cash,2024-02-18 22:01:44.733,,,,,,,,,,0.08,"EUR",,,"Interest on cash",7db5e411-0b31-4c12-9085-edf18ba351f9,,,,,,
Interest on cash,2024-02-18 22:01:44.991,,,,,,,,,,0.03,"USD",,,"Interest on cash",228f3341-2678-49aa-8d8b-157c2151ec7d,,,,,,
Interest on cash,2024-02-19 22:01:36.358,,,,,,,,,,0.08,"EUR",,,"Interest on cash",0ed58d84-cb8a-4d51-97e8-a8ee35d26952,,,,,,
Interest on cash,2024-02-19 22:01:36.403,,,,,,,,,,0.03,"USD",,,"Interest on cash",0ee65d2d-d1a1-435f-9772-fb7161528f74,,,,,,
Lending interest,2024-02-20 02:36:06.039,,,,,,,,,,0.01,"EUR",,,"Share lending interest",b839bd7a-dcc8-48a7-837f-42468bfbd8ce,,,,,,
Interest on cash,2024-02-20 22:01:24.966,,,,,,,,,,0.09,"EUR",,,"Interest on cash",f9695fd6-c117-4642-ac59-4d64f7dbfab2,,,,,,
Interest on cash,2024-02-20 22:01:25,,,,,,,,,,0.03,"USD",,,"Interest on cash",f8578f60-dc8f-471e-a244-7d4745260db5,,,,,,
Withdrawal,2024-02-21 14:03:00.257,,,,,,,,,,-100.00,"EUR",,,"Sent to card **** 8003",e523bfeb-6275-43b0-95ac-506b3e245ff0,,,,,,
Interest on cash,2024-02-21 22:01:21.016,,,,,,,,,,0.07,"EUR",,,"Interest on cash",816055de-0980-49d1-a268-c7d71e0953b4,,,,,,
Interest on cash,2024-02-21 22:01:21.057,,,,,,,,,,0.03,"USD",,,"Interest on cash",7bd34866-05ad-4527-a2a5-e6f67a74475b,,,,,,
Interest on cash,2024-02-22 22:01:25.551,,,,,,,,,,0.07,"EUR",,,"Interest on cash",cf3a0d08-dde1-421d-8924-612fe056e3f7,,,,,,
Interest on cash,2024-02-22 22:01:25.59,,,,,,,,,,0.03,"USD",,,"Interest on cash",3777b05b-fdb5-4b2f-9a25-f6d3161a5584,,,,,,
Interest on cash,2024-02-23 22:01:25.089,,,,,,,,,,0.07,"EUR",,,"Interest on cash",8d5844fd-44d5-4879-957b-b762816c9550,,,,,,
Interest on cash,2024-02-23 22:01:25.144,,,,,,,,,,0.03,"USD",,,"Interest on cash",f9859c6a-8ec3-4b38-b7b8-c1d6a9eb733d,,,,,,
Interest on cash,2024-02-24 22:01:32.496,,,,,,,,,,0.07,"EUR",,,"Interest on cash",79f4ebab-67bf-4c0e-ac32-fe12f81350ae,,,,,,
Interest on cash,2024-02-24 22:01:32.535,,,,,,,,,,0.03,"USD",,,"Interest on cash",912ee83c-7048-43e9-abf6-0989101a0341,,,,,,
Interest on cash,2024-02-25 22:01:39.575,,,,,,,,,,0.07,"EUR",,,"Interest on cash",f7eebf88-a38d-49f9-adc8-34dcc939410b,,,,,,
Interest on cash,2024-02-25 22:01:39.622,,,,,,,,,,0.03,"USD",,,"Interest on cash",7120ab31-ed42-416b-abc5-e245f29aff90,,,,,,
Interest on cash,2024-02-26 22:01:49.619,,,,,,,,,,0.07,"EUR",,,"Interest on cash",600d3942-fdf1-4dcb-b86c-a37099c58079,,,,,,
Interest on cash,2024-02-26 22:01:49.656,,,,,,,,,,0.03,"USD",,,"Interest on cash",018c951c-66c4-4248-9b56-70e7fe17b5dc,,,,,,
Interest on cash,2024-02-27 22:01:28.798,,,,,,,,,,0.07,"EUR",,,"Interest on cash",561db587-7d87-4418-b75a-f3f4d0d608b0,,,,,,
Interest on cash,2024-02-27 22:01:28.842,,,,,,,,,,0.03,"USD",,,"Interest on cash",23c769e3-110f-4141-9bbc-742d4ae2810a,,,,,,
Interest on cash,2024-02-28 22:01:29.767,,,,,,,,,,0.07,"EUR",,,"Interest on cash",dceb0e4a-c1f3-481b-876d-8651c2b95cce,,,,,,
Interest on cash,2024-02-28 22:01:29.821,,,,,,,,,,0.03,"USD",,,"Interest on cash",1232a013-dbec-4787-9796-0e95b72cb8a4,,,,,,
Deposit,2024-02-29 20:30:22.486,,,,,,,,,,1000.00,"EUR",,,"Bank Transfer",da79df82-1619-460b-afce-60af023112db,,,,,,
Interest on cash,2024-02-29 22:01:36.028,,,,,,,,,,0.19,"EUR",,,"Interest on cash",6d6869d8-73f5-4398-8248-007a37772030,,,,,,
Interest on cash,2024-02-29 22:01:36.073,,,,,,,,,,0.03,"USD",,,"Interest on cash",ac9f4b3a-a24c-4ef0-96b7-edb5a51736b7,,,,,,
Interest on cash,2024-03-01 22:01:32.748,,,,,,,,,,0.18,"EUR",,,"Interest on cash",1b8d1c32-dee5-4c13-bc04-3828aa6ac61c,,,,,,
Interest on cash,2024-03-01 22:01:32.803,,,,,,,,,,0.03,"USD",,,"Interest on cash",0d9182f3-5701-4597-9f34-b360fdf92e46,,,,,,
Lending interest,2024-03-02 02:15:28.066,,,,,,,,,,0.01,"EUR",,,"Share lending interest",e160b945-28bc-4119-8c66-7a186dd6936e,,,,,,
Interest on cash,2024-03-02 22:01:41.295,,,,,,,,,,0.19,"EUR",,,"Interest on cash",ed124240-d017-4e6b-9e0f-6b2fab6fc82b,,,,,,
Interest on cash,2024-03-02 22:01:41.341,,,,,,,,,,0.03,"USD",,,"Interest on cash",3da97400-e3de-442f-b6a1-a24e7c2fbd31,,,,,,
Interest on cash,2024-03-03 22:01:56.444,,,,,,,,,,0.18,"EUR",,,"Interest on cash",f4c1592b-b83c-46fa-a9c3-c736fdc2c401,,,,,,
Interest on cash,2024-03-03 22:01:56.485,,,,,,,,,,0.03,"USD",,,"Interest on cash",00345a5b-a73c-41e9-a79d-9e23441eb212,,,,,,
Lending interest,2024-03-04 02:16:05.84,,,,,,,,,,0.01,"EUR",,,"Share lending interest",17d988b4-dd2b-45e6-9017-a7ac734ce839,,,,,,
Interest on cash,2024-03-04 22:01:34.68,,,,,,,,,,0.18,"EUR",,,"Interest on cash",43b97977-27b9-4485-bc17-112685e8cdd1,,,,,,
Interest on cash,2024-03-04 22:01:34.722,,,,,,,,,,0.03,"USD",,,"Interest on cash",c4057fe9-51f1-45f9-90bb-bdf8b953143d,,,,,,
Interest on cash,2024-03-05 22:01:39.667,,,,,,,,,,0.19,"EUR",,,"Interest on cash",707251eb-7ad1-4ff6-b650-8f6bcdcff6a1,,,,,,
Interest on cash,2024-03-05 22:01:39.708,,,,,,,,,,0.03,"USD",,,"Interest on cash",62a0f1e4-971f-4b8a-93e0-f79bacafd904,,,,,,
Interest on cash,2024-03-06 22:01:36.302,,,,,,,,,,0.18,"EUR",,,"Interest on cash",1d059e71-9439-402e-a1fe-06589fce265e,,,,,,
Interest on cash,2024-03-06 22:01:36.343,,,,,,,,,,0.03,"USD",,,"Interest on cash",eefcfda1-eb82-4856-9f1d-173704271b75,,,,,,
Market buy,2024-03-07 08:27:20.476,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",1.0000000000,491.49,EUR,1.00000,,"EUR",491.49,"EUR",,,,EOF11302656418,,,,,,
Interest on cash,2024-03-07 22:01:45.442,,,,,,,,,,0.13,"EUR",,,"Interest on cash",cb822a38-b1b5-4cf5-b359-a751dd3d6b7d,,,,,,
Interest on cash,2024-03-07 22:01:45.483,,,,,,,,,,0.03,"USD",,,"Interest on cash",37b87f46-5ba7-440b-894a-caade6cf098e,,,,,,
Market buy,2024-03-08 19:14:55.322,US0378331005,AAPL,"Apple",1.0000000000,172.81,USD,1.00000,,"USD",172.81,"USD",,,,EOF11402597988,,,,,,
Market buy,2024-03-08 19:27:48.635,US67066G1040,NVDA,"Nvidia",0.0514664000,882.32,USD,1.00000,,"USD",45.41,"USD",,,,EOF11402599243,,,,,,
Interest on cash,2024-03-08 22:01:39.368,,,,,,,,,,0.13,"EUR",,,"Interest on cash",6c8b8d2c-fd86-40af-b52a-a9167f0ab762,,,,,,
Lending interest,2024-03-09 02:17:06.62,,,,,,,,,,0.01,"EUR",,,"Share lending interest",c93cd47a-7a13-4953-85d6-5a51ae74b7a2,,,,,,
Interest on cash,2024-03-09 22:01:48.529,,,,,,,,,,0.13,"EUR",,,"Interest on cash",33d7b4aa-9add-454f-b725-ecedee357257,,,,,,
Interest on cash,2024-03-10 22:02:19.68,,,,,,,,,,0.12,"EUR",,,"Interest on cash",05a85609-d91a-4aca-a024-16b7b500a2ff,,,,,,
Lending interest,2024-03-11 02:16:09.461,,,,,,,,,,0.02,"EUR",,,"Share lending interest",900ec80d-18f2-44ef-a9ed-dbd0aa155bf8,,,,,,
Interest on cash,2024-03-11 22:01:41.305,,,,,,,,,,0.13,"EUR",,,"Interest on cash",b946268d-5598-43fd-85a4-79596cc65d36,,,,,,
Lending interest,2024-03-12 02:15:01.948,,,,,,,,,,0.01,"EUR",,,"Share lending interest",43c80ea8-7a2e-4cc1-9d9c-a61cd294ddfb,,,,,,
Interest on cash,2024-03-12 22:01:39.996,,,,,,,,,,0.13,"EUR",,,"Interest on cash",0822abf2-4e43-4c82-8c7b-551db7526634,,,,,,
Market buy,2024-03-13 16:36:02.447,US0378331005,AAPL,"Apple",1.0000000000,171.05,USD,1.09436,,"EUR",156.53,"EUR",,,,EOF11600880854,,,,,0.23,"EUR"
Interest on cash,2024-03-13 22:02:09.426,,,,,,,,,,0.11,"EUR",,,"Interest on cash",6834fe2e-b3e8-47d5-87bf-a9c9b5ad8831,,,,,,
Dividend (Dividend),2024-03-14 10:13:59,US5949181045,MSFT,"Microsoft",0.5781679000,0.64,USD,Not available,,,0.34,"EUR",0.07,USD,,,,,,,,
Interest on cash,2024-03-14 22:02:03.022,,,,,,,,,,0.11,"EUR",,,"Interest on cash",a3b16841-5d82-4421-ae1a-0a98d0aabcfa,,,,,,
Interest on cash,2024-03-15 22:01:58.832,,,,,,,,,,0.11,"EUR",,,"Interest on cash",645169c5-7a94-4b43-bc3b-4c918542d425,,,,,,
Interest on cash,2024-03-16 22:02:26.029,,,,,,,,,,0.12,"EUR",,,"Interest on cash",74bf394f-896b-4724-8bf5-1c84c93f19b6,,,,,,
Interest on cash,2024-03-17 22:02:23.572,,,,,,,,,,0.11,"EUR",,,"Interest on cash",a4d64faa-373c-42c4-9d01-ecb92c271e69,,,,,,
Market buy,2024-03-18 13:53:02.663,US00751Y1064,AAP,"Advance Auto Parts",4.5000000000,81.52,USD,1.08893,,"EUR",337.39,"EUR",,,,EOF11801583410,,,,,0.51,"EUR"
Interest on cash,2024-03-18 22:02:17.459,,,,,,,,,,0.07,"EUR",,,"Interest on cash",0190b2f2-cb60-4b4e-b8b0-a55cd929c294,,,,,,
Interest on cash,2024-03-19 22:02:17.017,,,,,,,,,,0.07,"EUR",,,"Interest on cash",b7660dfb-2172-4ea9-8d23-176e29611e6a,,,,,,
Interest on cash,2024-03-20 22:02:05.19,,,,,,,,,,0.08,"EUR",,,"Interest on cash",8a9943e1-7cf4-4f28-8012-f6badecdf10a,,,,,,
Interest on cash,2024-03-21 22:02:16.413,,,,,,,,,,0.07,"EUR",,,"Interest on cash",1e637b5b-8811-4c16-a7a7-97ad5e96a9a4,,,,,,
Interest on cash,2024-03-22 22:02:14.653,,,,,,,,,,0.07,"EUR",,,"Interest on cash",7c7192a1-17cd-42dc-9e90-07d3f68f5d56,,,,,,
Interest on cash,2024-03-23 22:02:22.09,,,,,,,,,,0.07,"EUR",,,"Interest on cash",abd54df1-bc08-449c-add8-ac6d92bfe359,,,,,,
Interest on cash,2024-03-24 22:02:19.892,,,,,,,,,,0.08,"EUR",,,"Interest on cash",6675c7ed-c646-4860-90e2-e870af681ed2,,,,,,
Interest on cash,2024-03-25 22:02:13.231,,,,,,,,,,0.07,"EUR",,,"Interest on cash",5f769be4-5256-4b43-a7dd-da6192d42fc2,,,,,,
Withdrawal,2024-03-26 12:36:19.53,,,,,,,,,,-200.00,"EUR",,,"Sent to Bank account",73a16b5e-21ea-404d-b063-48153de87c91,,,,,,
Interest on cash,2024-03-26 22:02:15.206,,,,,,,,,,0.05,"EUR",,,"Interest on cash",f0d497ab-02ee-4106-a643-3f1473411a7c,,,,,,
Market buy,2024-03-27 17:10:47.595,US2546871060,DIS,"Walt Disney",1.0000000000,120.43,USD,1.08183,,"EUR",111.49,"EUR",,,,EOF12201643011,,,,,0.17,"EUR"
Interest on cash,2024-03-27 22:02:17.857,,,,,,,,,,0.04,"EUR",,,"Interest on cash",bdb97b7c-3f12-4a1c-90e6-c3fd39c988b9,,,,,,
Interest on cash,2024-03-28 22:02:19.303,,,,,,,,,,0.04,"EUR",,,"Interest on cash",c582f50e-c9ef-461c-a395-f5b437f3e817,,,,,,
Deposit,2024-03-29 15:15:06.441,,,,,,,,,,1000.00,"EUR",,,"Bank Transfer",b4bebae3-d76f-4917-b6bd-c871026e6272,,,,,,
Interest on cash,2024-03-29 22:02:21.737,,,,,,,,,,0.15,"EUR",,,"Interest on cash",5e751aac-3945-4aec-9e98-d8c91d0dde30,,,,,,
Interest on cash,2024-03-30 22:02:29.957,,,,,,,,,,0.15,"EUR",,,"Interest on cash",8af0e751-83ac-4821-8244-53a39a18de7f,,,,,,
Interest on cash,2024-03-31 21:02:31.714,,,,,,,,,,0.15,"EUR",,,"Interest on cash",db3b35b1-8889-4429-9c3c-424dfcfd93fd,,,,,,
Interest on cash,2024-04-01 21:02:23.653,,,,,,,,,,0.15,"EUR",,,"Interest on cash",ceea9047-e590-43db-9989-d0c1b7d99ad6,,,,,,
Market buy,2024-04-02 07:46:46.966,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",1.0000000000,513.04,EUR,1.00000,,"EUR",513.04,"EUR",,,,EOF12450173427,,,,,,
Interest on cash,2024-04-02 21:02:23.677,,,,,,,,,,0.09,"EUR",,,"Interest on cash",322bd979-7599-4304-8b39-e1e528e813f2,,,,,,
Interest on cash,2024-04-03 21:02:29.497,,,,,,,,,,0.10,"EUR",,,"Interest on cash",5e06ec52-cedc-42f6-a132-f5edfa1bac7f,,,,,,
Interest on cash,2024-04-04 21:02:32.831,,,,,,,,,,0.09,"EUR",,,"Interest on cash",207ec0a5-4900-441a-bf8e-03e18af27a80,,,,,,
Market buy,2024-04-05 07:16:42.282,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.2000000000,501.16,EUR,1.00000,,"EUR",100.23,"EUR",,,,EOF12552910492,,,,,,
Market buy,2024-04-05 08:51:18.394,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.6000000000,501.08,EUR,1.00000,,"EUR",300.65,"EUR",,,,EOF12552921551,,,,,,
Interest on cash,2024-04-05 21:02:27.428,,,,,,,,,,0.05,"EUR",,,"Interest on cash",225d0d7f-53b3-4d74-adf3-ea5b56580772,,,,,,
Interest on cash,2024-04-06 21:02:35.387,,,,,,,,,,0.05,"EUR",,,"Interest on cash",9b03ca1b-3de4-4720-a335-35fab4169eba,,,,,,
Interest on cash,2024-04-07 21:02:36.962,,,,,,,,,,0.04,"EUR",,,"Interest on cash",179b2c72-ebed-497d-93a6-edee9de3db19,,,,,,
Interest on cash,2024-04-08 21:02:35.868,,,,,,,,,,0.05,"EUR",,,"Interest on cash",532cde96-51ca-4b83-ae08-00127e6e8009,,,,,,
Interest on cash,2024-04-09 21:02:28.163,,,,,,,,,,0.05,"EUR",,,"Interest on cash",4c7185a9-b181-496d-9a9e-e3d70e5b4eea,,,,,,
Interest on cash,2024-04-10 21:02:33.436,,,,,,,,,,0.05,"EUR",,,"Interest on cash",c96eefaa-a53c-4afe-9657-7eb4cada191c,,,,,,
Interest on cash,2024-04-11 21:02:41.219,,,,,,,,,,0.04,"EUR",,,"Interest on cash",af09bbda-8b3b-49ec-975d-70a1e2e1a86e,,,,,,
Withdrawal,2024-04-12 19:18:04.645,,,,,,,,,,-100.00,"EUR",,,"Sent to Bank Account CCCMPTPLXXX / PT50004587274034839455253",f062a089-b250-4999-8bcb-252f23d0b7c5,,,,,,
Interest on cash,2024-04-12 21:02:35.982,,,,,,,,,,0.04,"EUR",,,"Interest on cash",c4ccd4fd-bfc1-49be-aebc-e26e0dbd3cfc,,,,,,
Interest on cash,2024-04-13 21:02:39.488,,,,,,,,,,0.04,"EUR",,,"Interest on cash",1b845a8e-963d-49bb-b181-e0f06df15637,,,,,,
Interest on cash,2024-04-14 21:02:37.262,,,,,,,,,,0.03,"EUR",,,"Interest on cash",53c32776-a78e-4e87-b84d-5a004f021ae0,,,,,,
Interest on cash,2024-04-15 21:02:37.839,,,,,,,,,,0.04,"EUR",,,"Interest on cash",90654129-7721-41c3-9538-ac72f36262d6,,,,,,
Interest on cash,2024-04-16 21:02:39.171,,,,,,,,,,0.04,"EUR",,,"Interest on cash",af2e9444-0fce-4fae-98f8-bf248cacd6a7,,,,,,
Interest on cash,2024-04-17 21:02:38.504,,,,,,,,,,0.03,"EUR",,,"Interest on cash",7aa2b4d6-1aa2-459d-9cf7-3489f12beb4d,,,,,,
Market buy,2024-04-18 08:21:53.101,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.2000000000,496.22,EUR,1.00000,,"EUR",99.24,"EUR",,,,EOF13202112856,,,,,,
Interest on cash,2024-04-18 21:02:37.054,,,,,,,,,,0.03,"EUR",,,"Interest on cash",dcc46bd8-68f8-4080-aee5-5d2d3a473532,,,,,,
Interest on cash,2024-04-19 21:02:36.808,,,,,,,,,,0.02,"EUR",,,"Interest on cash",7a436995-1fc2-4da2-9fcb-c55baaaa2d36,,,,,,
Interest on cash,2024-04-20 21:02:41.442,,,,,,,,,,0.03,"EUR",,,"Interest on cash",087ff089-63c8-454f-a7e3-c9e0bcf388f0,,,,,,
